GIMBAL LOG ANALYSIS REPORT
==================================================

Commands analyzed: 3158
Time period: 2025-09-16 10:26:15 to 2025-09-16 10:32:19

SAMPLE COMMANDS (every 10th entry):
Time          | Target Y/P    | Current Y/P   | Error Y/P     | Speed Y/P
10:30:55 |  354.5/ -1.8 |  358.4/ +2.2 |   -3.9/ -4.0 |  -4/ +3
10:30:56 |  354.5/ -1.8 |  358.4/ +2.2 |   -3.9/ -4.0 |  -4/ +3
10:30:57 |  354.5/ -1.8 |  358.3/ +2.2 |   -3.8/ -4.0 |  -4/ +3
10:30:58 |  354.5/ -1.8 |  358.4/ +2.2 |   -3.9/ -4.0 |  -4/ +3
10:30:59 |  354.6/ -1.9 |  358.3/ +2.2 |   -3.7/ -4.1 |  -4/ +3
10:31:00 |  354.6/ -1.9 |  358.4/ +2.2 |   -3.8/ -4.1 |  -4/ +3
10:31:01 |  354.6/ -1.9 |  358.4/ +2.2 |   -3.8/ -4.1 |  -4/ +3
10:31:02 |  354.6/ -1.9 |  358.4/ +2.2 |   -3.8/ -4.1 |  -4/ +3
10:31:03 |  354.5/ -1.9 |  358.4/ +2.2 |   -3.9/ -4.1 |  -4/ +3
10:31:04 |  354.5/ -1.9 |  358.5/ +2.2 |   -4.0/ -4.1 |  -4/ +3
10:31:05 |  354.6/ -1.9 |  358.2/ +2.2 |   -3.6/ -4.1 |  -4/ +3
10:31:06 |  354.6/ -1.9 |  358.4/ +2.2 |   -3.8/ -4.1 |  -4/ +3
10:31:07 |  354.6/ -1.9 |  358.4/ +2.2 |   -3.8/ -4.1 |  -4/ +3
10:31:08 |  354.6/ -2.0 |  358.4/ +2.2 |   -3.8/ -4.2 |  -4/ +3
10:31:09 |  354.7/ -2.0 |  358.5/ +2.2 |   -3.8/ -4.2 |  -4/ +3
10:31:10 |  354.7/ -2.0 |  358.5/ +2.2 |   -3.8/ -4.2 |  -4/ +3
10:31:11 |  354.7/ -2.0 |  358.5/ +2.2 |   -3.8/ -4.2 |  -4/ +3
10:31:13 |  354.7/ -2.0 |  358.6/ +2.2 |   -3.9/ -4.2 |  -5/ +3
10:31:14 |  354.7/ -2.0 |  358.6/ +2.2 |   -3.9/ -4.2 |  -5/ +3
10:31:15 |  354.7/ -2.0 |  357.9/ +2.2 |   -3.2/ -4.2 |  -3/ +3
10:31:16 |  354.6/ -2.0 |  358.1/ +2.2 |   -3.5/ -4.2 |  -4/ +4
10:31:17 |  354.6/ -2.1 |  358.1/ +2.2 |   -3.5/ -4.3 |  -4/ +4
10:31:18 |  354.6/ -2.1 |  358.1/ +2.2 |   -3.5/ -4.3 |  -4/ +4
10:31:19 |  354.6/ -2.1 |  358.1/ +2.2 |   -3.5/ -4.3 |  -4/ +4
10:31:20 |  354.6/ -2.1 |  358.0/ +2.2 |   -3.4/ -4.3 |  -4/ +4
10:31:21 |  354.6/ -2.1 |  358.1/ +2.2 |   -3.5/ -4.3 |  -4/ +4
10:31:22 |  354.5/ -2.1 |  358.2/ +2.2 |   -3.7/ -4.3 |  -4/ +4
10:31:23 |  354.6/ -2.1 |  358.0/ +2.2 |   -3.4/ -4.3 |  -4/ +4
10:31:24 |  354.6/ -2.2 |  358.2/ +2.2 |   -3.6/ -4.4 |  -4/ +4
10:31:25 |  354.7/ -2.2 |  358.1/ +2.2 |   -3.4/ -4.4 |  -4/ +4
10:31:26 |  354.7/ -2.2 |  358.3/ +2.2 |   -3.6/ -4.4 |  -4/ +4
10:31:27 |  354.7/ -2.2 |  358.1/ +2.2 |   -3.4/ -4.4 |  -4/ +4
10:31:28 |  354.7/ -2.2 |  358.1/ +2.2 |   -3.4/ -4.4 |  -4/ +4
10:31:29 |  354.7/ -2.2 |  358.3/ +2.2 |   -3.6/ -4.4 |  -4/ +4
10:31:30 |  354.8/ -2.3 |  358.3/ +2.2 |   -3.5/ -4.5 |  -4/ +4
10:31:31 |  354.8/ -2.3 |  358.3/ +2.2 |   -3.5/ -4.5 |  -4/ +4
10:31:32 |  354.8/ -2.3 |  358.5/ +2.2 |   -3.7/ -4.5 |  -5/ +4
10:31:33 |  354.8/ -2.3 |  358.2/ +2.2 |   -3.4/ -4.5 |  -4/ +4
10:31:34 |  354.9/ -2.3 |  358.2/ +2.2 |   -3.3/ -4.5 |  -3/ +4
10:31:35 |  354.9/ -2.3 |  358.3/ +2.2 |   -3.4/ -4.5 |  -4/ +4
10:31:36 |  354.9/ -2.4 |  358.4/ +2.2 |   -3.5/ -4.6 |  -4/ +4
10:31:37 |  354.9/ -2.4 |  358.5/ +2.2 |   -3.6/ -4.6 |  -4/ +4
10:31:43 |   38.3/ -2.2 |   67.3/ +1.8 |  -29.0/ -4.0 | -64/ +4
10:31:44 |   16.9/ -2.2 |   20.8/ +1.7 |   -3.9/ -3.9 |  -4/ +3
10:31:45 |    6.4/ -2.2 |   11.2/ +1.7 |   -4.8/ -3.9 |  -9/ +3
10:31:46 |    0.1/ -2.3 |    4.9/ +1.7 |   -4.8/ -4.0 |  -9/ +3
10:31:47 |  358.0/ -2.3 |    2.8/ +1.7 |   -4.8/ -4.0 |  -9/ +3
10:31:48 |  357.0/ -2.3 |    0.4/ +1.7 |   -3.4/ -4.0 |  -4/ +3
10:31:49 |  356.4/ -2.4 |    0.4/ +1.7 |   -4.0/ -4.1 |  -5/ +3
10:31:50 |  356.4/ -2.4 |    0.1/ +1.7 |   -3.7/ -4.1 |  -4/ +3
10:31:51 |  356.6/ -2.4 |    0.0/ +1.7 |   -3.4/ -4.1 |  -4/ +3
10:31:52 |  356.9/ -2.4 |    0.1/ +1.7 |   -3.2/ -4.1 |  -3/ +3
10:31:58 |  320.9/ -2.2 |  304.7/ +1.7 |  +16.2/ -3.9 | +36/ +4
10:31:59 |  348.7/ -2.2 |  344.1/ +1.7 |   +4.6/ -3.9 |  +8/ +3
10:32:00 |  354.9/ -2.2 |  348.4/ +1.7 |   +6.5/ -3.9 |  +9/ +4
10:32:01 |  359.8/ -2.3 |  355.6/ +1.7 |   +4.2/ -4.0 |  +5/ +3
10:32:02 |    3.1/ -2.3 |  356.9/ +1.7 |   +6.2/ -4.0 |  +8/ +4
10:32:03 |    4.2/ -2.3 |  356.9/ +1.7 |   +7.3/ -4.0 | +11/ +4
10:32:12 |   67.3/ -2.2 |   60.5/ +1.7 |   +6.8/ -3.9 | +10/ +4
10:32:13 |   29.4/ -2.2 |   38.4/ +1.7 |   -9.0/ -3.9 | -18/ +4
10:32:14 |   14.4/ -2.2 |   19.1/ +1.7 |   -4.7/ -3.9 |  -8/ +3
10:32:15 |    3.6/ -2.3 |    8.9/ +1.7 |   -5.3/ -4.0 |  -6/ +4
10:32:16 |  359.4/ -2.3 |    4.3/ +1.7 |   -4.9/ -4.0 |  -9/ +3
10:32:17 |  357.8/ -2.3 |    2.1/ +1.7 |   -4.3/ -4.0 |  -6/ +3
10:32:18 |  356.3/ -2.3 |    0.3/ +1.7 |   -4.0/ -4.0 |  -5/ +3

Recoveries: 0
Warnings: 70
