GIMBAL LOG ANALYSIS REPORT
==================================================

Commands analyzed: 2300
Time period: 2025-09-08 15:34:54 to 2025-09-08 16:31:00

SAMPLE COMMANDS (every 10th entry):
Time          | Target Y/P    | Current Y/P   | Error Y/P     | Speed Y/P
15:37:01 |  357.5/+22.9 |    4.0/+24.4 |   -6.5/ -1.5 |  -3/ -2
15:37:03 |  357.6/+23.6 |    4.1/+24.4 |   -6.5/ -0.8 |  -3/ +0
15:37:05 |  357.7/+24.4 |    4.1/+24.4 |   -6.4/ +0.0 |  -3/ +0
15:37:07 |  357.9/+25.3 |    4.0/+24.4 |   -6.1/ +0.9 |  -3/ +0
15:37:09 |  358.0/+26.1 |    4.0/+24.4 |   -6.0/ +1.7 |  -3/ +2
15:37:11 |  358.1/+27.1 |    4.3/+24.4 |   -6.2/ +2.7 |  -3/ +2
15:37:13 |  358.4/+28.2 |    4.2/+24.4 |   -5.8/ +3.8 |  -2/ +2
15:37:15 |  358.5/+29.2 |    4.2/+24.4 |   -5.7/ +4.8 |  -2/ -1
15:37:17 |  358.7/+30.5 |    4.2/+24.4 |   -5.5/ +6.1 |  -2/ -3
15:37:19 |    0.4/+31.7 |    4.3/+24.4 |   -3.9/ +7.3 |  -2/ -4
15:37:21 |   10.1/+33.1 |    4.3/+24.5 |   +5.8/ +8.6 |  +2/ -6
15:37:23 |   27.4/+34.4 |   13.7/+24.9 |  +13.7/ +9.5 | +12/ -7
15:37:25 |   51.9/+35.6 |   36.6/+25.0 |  +15.3/+10.6 | +13/ -8
15:37:27 |   71.5/+36.3 |   59.0/+25.0 |  +12.5/+11.3 | +10/ -9
15:37:29 |   85.1/+36.7 |   75.5/+25.0 |   +9.6/+11.7 |  +8/ -9
15:37:31 |   90.5/-51.4 |   82.1/+25.0 |   +8.4/-76.4 |  +5/+67
15:37:33 |   91.5/-51.4 |   84.0/-47.8 |   +7.5/ -3.6 |  +4/ -2
15:37:35 |   90.9/-51.4 |   83.9/-47.8 |   +7.0/ -3.6 |  +4/ -2
15:37:37 |   90.2/-51.4 |   83.7/-47.8 |   +6.5/ -3.6 |  +3/ -2
15:37:39 |   89.8/-51.4 |   83.6/-47.8 |   +6.2/ -3.6 |  +3/ -2
15:37:41 |   89.6/-51.4 |   83.4/-47.8 |   +6.2/ -3.6 |  +3/ -2
15:37:43 |   89.6/-51.4 |   83.5/-47.8 |   +6.1/ -3.6 |  +3/ -2
15:37:45 |   89.4/-51.4 |   83.3/-47.8 |   +6.1/ -3.6 |  +3/ -2
15:37:47 |   89.2/-51.4 |   83.2/-47.8 |   +6.0/ -3.6 |  +2/ -2
15:37:49 |   88.9/-51.4 |   83.0/-47.8 |   +5.9/ -3.6 |  +2/ -2
15:37:51 |   88.5/-51.4 |   83.0/-47.8 |   +5.5/ -3.6 |  +2/ -2
15:37:53 |   87.9/-51.4 |   82.8/-47.8 |   +5.1/ -3.6 |  +1/ -2
15:37:55 |   87.3/-51.4 |   82.6/-47.8 |   +4.7/ -3.6 |  +1/ -2
15:37:57 |   86.9/-51.4 |   82.6/-47.8 |   +4.3/ -3.6 |  +1/ -2
15:37:59 |   86.6/-51.4 |   82.4/-47.8 |   +4.2/ -3.6 |  +2/ -2
